"","num_cpan_modules","num_cpan_modules_handed_over"
"1271",2,2
"1272",NA,NA
"1273",1,1
"1274",NA,NA
"1275",NA,NA
"1276",1,1
"1277",1,1
"1278",1,1
"1279",1,1
"1280",1,1
"1281",1,1
"1282",2,1
"1283",NA,NA
"1284",1,1
"1285",1,1
"1286",1,1
"1287",1,1
"1288",2,1
"1289",1,1
"1290",NA,NA
"1291",NA,NA
"1292",NA,NA
"1293",1,1
"1294",1,1
"1295",NA,NA
"1296",1,1
"1297",1,1
"1298",1,1
"1299",1,3
"1300",NA,NA
"1301",1,NA
"1302",1,1
"1303",1,1
"1304",NA,NA
"1305",1,1
"1306",1,1
"1307",1,1
"1308",1,1
"1309",NA,NA
"1310",1,1
"1311",1,1
"1312",1,1
"1313",2,1
"1314",1,1
"1315",1,1
"1316",NA,NA
"1317",1,1
"1318",1,1
"1319",3,2
"1320",NA,NA
"1321",1,1
"1322",1,1
"1323",1,1
"1324",1,1
"1325",2,NA
"1326",1,1
"1327",3,1
"1328",1,1
"1329",1,1
"1330",1,1
"1331",NA,NA
"1332",2,1
"1333",NA,NA
"1334",NA,NA
"1335",1,1
"1336",1,1
"1337",1,1
"1338",1,1
"1339",4,2
"1340",1,1
"1341",2,1
"1342",1,2
"1343",1,1
"1344",NA,NA
"1345",1,1
"1346",1,1
"1347",1,1
"1348",NA,NA
"1349",1,1
"1350",1,1
"1351",2,1
"1352",1,1
"1353",1,1
"1354",NA,NA
"1355",1,1
"1356",NA,NA
"1357",2,1
"1358",NA,NA
"1359",1,1
"1360",1,1
"1361",1,1
"1362",1,1
"1363",1,1
"1364",1,3
"1365",1,1
"1366",1,1
"1367",1,1
"1368",2,2
"1369",1,1
"1370",2,1
"1371",1,1
"1372",1,1
"1373",1,1
"1374",3,2
"1375",NA,NA
"1376",1,1
"1377",1,1
"1378",1,1
"1379",1,1
"1380",1,1
"1381",NA,NA
"1382",1,1
"1383",NA,NA
"1384",1,4
"1385",1,1
"1386",1,1
"1387",1,1
"1388",2,1
"1389",1,1
"1390",1,1
"1391",1,1
"1392",NA,NA
"1393",1,1
"1394",1,1
"1395",1,1
"1396",1,1
"1397",NA,NA
"1398",1,1
"1399",1,1
"1400",4,2
"1401",NA,NA
"1402",2,2
"1403",NA,NA
"1404",1,1
"1405",1,1
"1406",1,1
"1407",1,1
"1408",1,1
"1409",2,2
"1410",NA,NA
"1411",NA,NA
"1412",2,1
"1413",NA,NA
"1414",NA,NA
"1415",1,1
"1416",1,1
"1417",1,1
"1418",1,1
"1419",NA,NA
"1420",1,1
"1421",1,1
"1422",2,1
"1423",1,1
"1424",1,1
"1425",1,1
"1426",1,1
"1427",1,1
"1428",NA,NA
"1429",1,1
"1430",NA,NA
"1431",1,1
"1432",1,1
"1433",NA,NA
"1434",3,1
"1435",1,1
"1436",1,1
"1437",1,1
"1438",1,1
"1439",1,1
"1440",1,1
"1441",1,1
"1442",1,1
"1443",2,1
"1444",1,1
"1445",1,2
"1446",4,1
"1447",NA,NA
"1448",1,1
"1449",1,1
"1450",1,1
"1451",2,2
"1452",4,2
"1453",1,1
"1454",NA,NA
"1455",1,1
"1456",1,1
"1457",2,1
"1458",NA,NA
"1459",1,1
"1460",1,1
"1461",2,2
"1462",1,1
"1463",1,1
"1464",2,1
"1465",1,1
"1466",1,1
"1467",1,1
"1468",1,1
