"","highest_qual","post_school_training_Computing","post_school_trainingArts","post_school_training_Creative.Arts","post_school_training_post_school_training_Languages","post_school_trainingScience","post_school_training_Social.Science","post_school_training_post_school_training_Mathematics","post_school_trainingEngineering","post_school_training_Education","post_school_training_Other"
"394",4,1,0,0,0,0,0,1,1,0,0
"395",3,1,0,0,0,0,0,0,0,0,0
"396",1,0,0,0,0,0,0,0,0,0,0
"397",1,1,0,0,0,0,0,0,0,0,0
"398",3,1,0,0,0,0,0,0,0,0,0
"399",1,0,0,0,0,0,0,0,0,0,0
"400",4,1,0,0,0,0,0,0,0,0,0
"401",4,0,0,0,0,0,0,0,0,0,0
"402",3,1,0,0,0,0,0,0,0,0,0
"403",NA,0,0,0,0,0,0,0,0,0,0
"404",1,1,0,0,0,0,0,0,0,0,0
"405",2,0,0,0,0,0,0,0,0,0,0
"406",1,0,0,0,0,0,0,0,1,0,0
"407",1,0,0,0,0,0,0,0,0,0,0
"408",4,0,0,0,0,1,0,0,0,0,0
"409",2,1,0,0,0,0,0,0,0,0,0
"410",4,1,0,0,1,1,0,1,1,0,0
"411",3,0,0,0,0,1,0,0,0,0,0
"412",4,0,0,0,0,1,0,0,0,0,0
"413",2,0,0,0,0,0,0,0,0,0,0
"414",4,1,0,0,1,0,0,0,0,0,0
"415",2,1,0,0,0,0,1,0,0,1,0
"416",1,1,0,0,0,0,0,1,0,0,0
"417",2,0,0,0,0,0,0,0,0,0,0
"418",3,0,0,0,1,0,0,0,0,0,0
"419",NA,0,0,0,0,0,0,0,0,0,0
"420",4,1,1,1,0,0,0,1,0,0,0
"421",2,0,0,0,0,0,0,0,0,0,1
"422",1,0,0,0,0,0,0,0,1,0,0
"423",4,0,0,0,0,0,1,0,0,0,0
"424",3,1,0,0,0,0,0,0,1,0,0
"425",1,0,1,0,0,0,0,0,0,0,0
"426",2,0,0,0,0,0,0,0,0,0,0
"427",4,1,0,0,0,0,0,0,0,0,0
"428",3,1,0,0,0,0,0,0,0,0,0
"429",3,1,0,0,0,0,0,0,0,0,1
"430",NA,0,0,0,0,0,0,0,0,0,0
"431",3,1,0,0,0,0,0,1,0,0,0
"432",NA,0,0,0,0,0,0,0,0,0,0
"433",4,1,0,0,0,0,0,0,1,0,0
"434",3,1,0,0,1,0,0,0,0,0,0
"435",3,0,0,0,0,1,0,0,0,0,0
"436",4,1,0,0,0,1,1,0,0,0,0
"437",4,1,0,0,0,0,0,0,0,0,0
"438",1,0,0,0,0,1,0,0,0,0,0
"439",4,0,0,0,0,0,0,0,1,0,0
"440",4,0,0,0,0,1,0,0,0,0,0
"441",NA,0,0,0,0,0,0,0,0,0,0
"442",3,1,0,0,0,0,0,0,0,0,0
"443",1,0,0,0,0,0,0,0,0,0,0
"444",4,1,0,0,0,1,0,0,0,0,0
"445",2,1,0,0,0,0,0,0,0,0,0
"446",1,1,0,0,0,0,0,0,0,0,0
"447",4,1,0,0,0,1,0,0,1,0,0
"448",3,1,0,0,0,0,0,0,0,0,0
"449",3,0,0,0,0,1,1,0,1,0,0
"450",4,1,0,0,0,0,0,0,1,0,0
"451",3,0,1,0,0,0,0,0,0,0,0
"452",NA,0,0,0,0,0,0,0,0,0,0
"453",4,0,0,0,0,0,0,0,0,0,1
"454",1,1,1,0,0,0,0,0,0,0,0
"455",3,0,0,0,0,0,0,0,1,0,0
"456",NA,0,0,0,0,0,0,0,0,0,0
"457",3,1,0,0,1,0,0,1,0,0,0
"458",4,0,0,0,0,0,0,0,0,0,1
"459",3,0,0,0,0,0,0,0,1,0,0
"460",2,0,0,0,0,0,0,0,1,0,0
"461",4,0,0,0,0,0,0,0,0,0,1
"462",3,1,0,0,0,0,0,0,0,0,0
"463",4,1,0,0,0,0,0,0,0,0,0
"464",3,0,0,0,0,0,0,0,0,0,0
"465",3,1,1,1,0,0,0,0,0,0,0
"466",3,1,0,0,0,0,0,0,0,0,0
"467",4,1,0,0,1,0,0,0,0,0,0
"468",NA,0,0,0,0,0,0,0,0,0,0
"469",3,0,0,0,0,0,0,0,0,0,0
"470",1,1,0,0,0,1,0,0,0,0,0
"471",3,1,0,0,0,1,0,1,0,0,0
"472",3,0,0,0,0,0,0,0,0,0,0
"473",4,1,0,0,0,0,0,0,0,0,0
"474",1,0,0,0,0,0,0,1,0,0,0
"475",3,0,0,0,0,1,0,0,0,0,0
