"","win_os_perl_distro_strawberry","win_os_perl_distro_activestate","win_os_perl_distro_cygwin","win_os_perl_distro_other","win_os_perl_distro_best"
"837",0,0,0,0,NA
"838",0,1,0,0,2
"839",0,1,0,0,2
"840",0,0,0,0,NA
"841",0,0,0,0,NA
"842",0,0,0,0,NA
"843",0,0,0,0,NA
"844",0,0,0,0,NA
"845",0,0,0,0,NA
"846",0,0,0,0,NA
"847",0,1,0,0,2
"848",0,0,0,0,NA
"849",0,1,0,0,1
"850",0,0,0,0,NA
"851",0,0,0,0,NA
"852",0,0,0,0,NA
"853",0,0,0,0,NA
"854",0,1,0,0,2
"855",1,0,0,0,1
"856",0,0,0,0,NA
"857",1,0,0,0,1
"858",0,0,0,0,NA
"859",0,0,0,0,NA
"860",0,0,1,0,3
"861",1,1,0,0,2
"862",0,1,0,0,2
"863",0,1,0,0,NA
"864",0,0,0,0,NA
"865",0,0,0,0,NA
"866",0,1,0,0,NA
"867",0,0,0,0,NA
"868",0,1,0,0,2
"869",0,0,0,0,NA
"870",0,1,0,0,2
"871",0,0,0,0,NA
"872",0,0,0,0,NA
"873",0,0,0,0,NA
"874",1,0,0,0,1
"875",0,0,0,0,NA
"876",1,0,0,0,1
"877",0,1,0,0,2
"878",0,0,0,0,NA
"879",0,0,0,1,NA
"880",0,0,0,0,NA
"881",0,0,0,0,NA
"882",0,0,0,0,NA
"883",0,0,0,0,NA
"884",0,1,0,0,2
"885",1,0,0,0,1
"886",0,0,0,0,NA
"887",0,1,1,0,NA
"888",0,0,0,0,NA
"889",0,0,1,0,3
"890",0,0,0,0,NA
"891",0,1,0,0,2
"892",0,0,0,0,NA
"893",0,0,0,0,NA
"894",0,0,1,0,3
"895",1,1,0,0,1
"896",1,1,0,0,1
"897",0,1,1,0,2
"898",0,1,0,0,2
"899",0,0,0,0,NA
"900",0,0,0,0,NA
"901",0,0,0,0,NA
"902",0,0,0,0,NA
"903",0,0,0,0,NA
"904",0,0,0,0,NA
"905",0,0,0,0,NA
"906",1,1,0,0,2
"907",0,0,0,0,NA
"908",0,0,0,0,NA
"909",0,1,0,0,2
"910",0,1,0,0,2
"911",0,0,0,0,NA
"912",0,0,0,0,NA
"913",0,1,0,0,1
"914",0,0,0,0,NA
"915",0,1,0,0,2
"916",0,0,0,0,NA
"917",0,0,0,0,NA
"918",0,0,0,0,NA
"919",1,0,0,0,1
"920",0,0,0,0,2
"921",0,0,0,0,NA
"922",0,0,0,0,NA
"923",1,0,1,0,3
"924",1,0,1,0,1
"925",0,0,0,0,NA
"926",0,1,0,0,2
"927",0,0,0,0,NA
"928",0,0,0,0,NA
"929",0,0,0,0,NA
"930",0,0,0,0,NA
"931",0,0,0,0,NA
"932",0,0,0,0,NA
"933",0,0,0,0,NA
"934",1,1,1,0,3
"935",0,0,0,0,NA
"936",0,1,0,0,4
"937",0,0,0,0,NA
"938",0,0,0,0,NA
"939",0,0,0,0,NA
"940",0,1,0,0,NA
"941",0,1,1,0,2
"942",0,0,0,0,NA
"943",0,0,0,0,NA
"944",1,0,0,0,1
"945",0,0,0,0,NA
"946",0,1,0,0,2
"947",0,0,0,0,NA
"948",0,0,0,0,NA
"949",0,0,1,0,3
"950",1,1,0,0,1
"951",0,0,0,0,NA
"952",0,0,0,0,NA
