"","formally_taught_perl","formally_taught_other_os_language","other_os_language_taught"
"971",1,3,"Java, C, C++"
"972",1,1,""
"973",1,3,"bash (shell scripting)"
"974",1,1,""
"975",1,1,""
"976",1,1,""
"977",1,1,""
"978",1,1,""
"979",1,1,""
"980",1,1,""
"981",NA,NA,""
"982",1,2,""
"983",1,1,""
"984",1,1,""
"985",1,3,"python"
"986",1,3,"Python"
"987",2,3,"PHP"
"988",3,3,"PHP"
"989",1,1,""
"990",2,1,""
"991",NA,NA,""
"992",1,1,""
"993",NA,NA,""
"994",1,1,""
"995",NA,NA,""
"996",1,3,"common lisp"
"997",1,1,""
"998",3,3,""
"999",1,1,"Prolog"
"1000",1,3,"scheme"
"1001",1,1,""
"1002",1,1,""
"1003",1,2,""
"1004",3,4,"PHP C# C++"
"1005",1,1,""
"1006",1,1,""
"1007",1,1,""
"1008",1,1,""
"1009",2,2,"lisp"
"1010",1,1,""
"1011",1,2,""
"1012",1,1,""
"1013",1,1,""
"1014",1,4,"PHP"
"1015",1,1,""
"1016",1,1,""
"1017",1,1,""
"1018",3,3,""
"1019",3,3,"Java[CR]Smalltalk"
"1020",2,3,"C, C++"
"1021",1,3,"Java. Not really a good place to put this, since there's no field for comments on the survey...but I feel like you're creating selection bias here. I mean, I'm a university student who has worked programming jobs and non-technical jobs. A lot of these questions assume you've finished school and started a career, so in that way my answers will be misleading. You might have a lot of young people just not completing the survey (like I contemplated)"
"1022",1,1,""
"1023",1,1,""
"1024",1,1,""
"1025",1,1,""
"1026",1,1,""
"1027",2,2,""
"1028",1,1,""
"1029",1,2,""
"1030",1,1,""
"1031",1,1,""
"1032",1,1,""
"1033",1,1,""
"1034",1,1,""
"1035",NA,NA,""
"1036",1,3,"Scheme, Prolog, Python"
"1037",1,1,""
"1038",1,3,"Smalltalk, Lisp"
"1039",NA,NA,""
"1040",1,1,""
"1041",1,1,""
"1042",NA,NA,""
"1043",1,2,"shell"
"1044",2,2,""
"1045",1,1,""
"1046",1,1,""
"1047",1,1,""
"1048",NA,NA,""
"1049",3,3,""
"1050",3,1,""
"1051",1,1,""
"1052",1,1,""
"1053",1,2,"lisp - at the level of ""hello, world""++"
"1054",3,1,""
"1055",1,1,""
"1056",1,1,""
"1057",1,1,""
"1058",NA,NA,""
"1059",NA,NA,""
"1060",1,1,""
"1061",1,4,"forth[CR]fortran"
"1062",1,1,""
"1063",1,2,"basic"
"1064",NA,NA,""
"1065",1,2,""
"1066",1,1,""
"1067",1,1,""
"1068",1,1,""
"1069",1,1,""
"1070",1,2,"LISP."
"1071",NA,NA,""
"1072",2,2,""
"1073",3,1,""
"1074",1,1,""
"1075",1,1,""
"1076",4,4,""
"1077",1,3,"clisp"
"1078",1,3,"Scheme, Python"
"1079",1,1,""
"1080",1,1,""
"1081",NA,NA,""
"1082",NA,NA,""
"1083",1,2,"Scheme, shell scripting"
"1084",1,4,"Python"
"1085",2,3,"ML, Python"
"1086",1,1,""
"1087",1,1,""
"1088",NA,NA,""
"1089",3,1,""
"1090",1,1,""
"1091",1,1,""
"1092",1,1,""
"1093",1,3,""
"1094",1,1,""
"1095",1,1,""
"1096",1,1,""
"1097",1,1,""
"1098",1,1,""
"1099",1,1,""
"1100",1,3,"python matlab and c++, i was  physics major and we used those languages to solve problems"
"1101",NA,NA,""
"1102",NA,NA,""
"1103",1,1,""
"1104",1,1,""
"1105",1,1,""
"1106",1,4,""
"1107",1,1,""
"1108",1,3,"java"
"1109",1,1,""
"1110",1,3,"Python"
"1111",1,1,""
"1112",1,1,""
"1113",1,1,""
"1114",1,1,""
"1115",2,1,""
"1116",1,1,""
"1117",1,1,""
"1118",NA,NA,""
"1119",1,1,""
"1120",1,2,""
"1121",1,1,""
"1122",1,2,"Python"
"1123",2,3,"Lisp, Scheme, Python"
"1124",1,1,""
"1125",1,3,"C++"
"1126",1,1,""
"1127",1,1,""
"1128",NA,NA,""
"1129",2,4,""
"1130",1,1,""
"1131",3,1,""
"1132",1,2,""
"1133",2,3,"php"
"1134",5,4,"Prolog, R"
"1135",1,1,""
"1136",1,1,""
"1137",1,1,""
"1138",2,2,""
"1139",NA,NA,""
"1140",1,1,""
"1141",NA,NA,""
"1142",1,1,""
"1143",1,1,""
"1144",1,1,""
"1145",1,2,""
"1146",1,1,""
"1147",3,3,"C only"
"1148",1,1,""
"1149",1,1,""
"1150",NA,NA,""
"1151",1,1,""
"1152",1,1,""
"1153",1,3,"Lisp, java.[CR]It is unclear what you mean by ""dynamic"". Do you refer to types or that the language is interpreted or perhaps something else?"
"1154",1,1,""
"1155",NA,NA,""
"1156",1,1,""
"1157",1,1,""
"1158",1,2,"Gofer (dialect of Haskell), only a few lectures"
"1159",1,1,""
"1160",1,1,""
"1161",1,2,""
"1162",1,1,""
"1163",1,1,""
"1164",1,1,""
"1165",1,1,""
"1166",1,1,""
"1167",1,1,"Python"
"1168",1,1,""
"1169",1,1,""
"1170",1,1,""
"1171",1,3,""
"1172",3,3,"Python, PHP"
"1173",4,2,""
"1174",NA,NA,""
"1175",1,1,""
"1176",1,1,""
"1177",1,1,""
"1178",1,1,""
"1179",3,1,""
"1180",1,1,""
"1181",1,1,""
"1182",1,1,""
"1183",1,1,""
"1184",1,1,""
"1185",1,1,""
"1186",NA,NA,""
"1187",NA,NA,""
"1188",1,1,""
"1189",1,1,""
"1190",1,3,"Common-Lisp, Prolog[CR]"
"1191",1,1,""
"1192",1,1,""
"1193",1,1,""
"1194",1,1,""
"1195",1,3,"Ruby, Python"
"1196",NA,NA,""
"1197",NA,NA,""
"1198",1,1,""
"1199",1,3,"bash, C, ada"
"1200",1,1,""
"1201",NA,NA,""
"1202",1,1,""
"1203",1,3,"Python"
"1204",3,1,""
"1205",1,1,""
"1206",1,2,""
"1207",1,1,""
"1208",1,3,"Bash, Python"
"1209",1,1,""
"1210",1,1,""
"1211",1,1,""
"1212",1,1,""
"1213",1,1,""
"1214",2,2,"JAVA"
"1215",1,1,""
"1216",1,1,""
"1217",1,1,""
"1218",1,1,""
"1219",1,3,"awk, tcl"
"1220",1,1,""
"1221",1,3,"csh"
