"","gender","age_group"
"1223",1,4
"1224",1,5
"1225",1,2
"1226",1,4
"1227",1,2
"1228",1,5
"1229",1,2
"1230",1,6
"1231",1,4
"1232",1,3
"1233",1,4
"1234",NA,NA
"1235",2,2
"1236",1,3
"1237",1,2
"1238",1,4
"1239",1,5
"1240",1,3
"1241",1,3
"1242",1,4
"1243",1,4
"1244",1,5
"1245",1,2
"1246",1,4
"1247",NA,NA
"1248",1,4
"1249",NA,NA
"1250",1,1
"1251",1,4
"1252",1,3
"1253",1,3
"1254",1,2
"1255",NA,NA
"1256",1,4
"1257",1,6
"1258",1,2
"1259",1,4
"1260",1,5
"1261",1,4
"1262",1,4
"1263",1,3
"1264",2,4
"1265",1,2
"1266",1,3
"1267",1,4
"1268",1,3
"1269",1,3
"1270",1,4
"1271",1,4
"1272",1,2
"1273",1,6
"1274",NA,NA
"1275",1,4
"1276",1,4
"1277",1,3
"1278",1,5
"1279",1,4
"1280",1,3
"1281",1,6
"1282",1,4
"1283",3,4
"1284",1,4
"1285",1,2
"1286",1,3
"1287",1,5
"1288",1,6
"1289",1,2
"1290",NA,NA
"1291",1,5
"1292",1,3
"1293",1,3
"1294",1,3
"1295",1,4
"1296",1,3
"1297",1,4
"1298",1,5
"1299",1,3
"1300",1,5
"1301",1,6
"1302",1,5
"1303",1,3
"1304",1,5
"1305",1,3
"1306",1,4
"1307",1,6
"1308",1,4
"1309",1,3
"1310",1,4
"1311",1,5
"1312",1,5
"1313",1,2
"1314",1,4
"1315",1,4
"1316",1,5
"1317",1,4
"1318",1,4
"1319",1,3
"1320",NA,NA
"1321",1,3
"1322",1,4
"1323",1,4
"1324",1,5
"1325",1,4
"1326",1,6
"1327",1,4
"1328",1,4
"1329",2,4
"1330",1,5
"1331",NA,NA
"1332",2,5
"1333",1,3
"1334",1,3
"1335",1,5
"1336",1,4
"1337",1,5
"1338",1,3
"1339",1,4
"1340",1,3
"1341",1,4
"1342",1,4
"1343",1,2
"1344",1,2
"1345",1,3
"1346",1,5
"1347",1,2
"1348",1,3
"1349",1,3
"1350",1,5
"1351",1,5
"1352",1,4
"1353",1,5
"1354",1,3
"1355",1,2
"1356",NA,NA
"1357",1,4
"1358",NA,NA
"1359",1,3
"1360",1,5
"1361",1,3
"1362",1,5
"1363",1,4
"1364",1,5
"1365",1,5
"1366",1,3
"1367",1,3
"1368",1,5
"1369",1,5
"1370",1,2
"1371",1,4
"1372",1,4
"1373",1,6
"1374",1,3
"1375",1,3
"1376",1,6
"1377",2,3
"1378",1,3
"1379",1,4
"1380",2,4
"1381",NA,NA
"1382",2,6
"1383",NA,NA
"1384",1,3
"1385",1,5
"1386",1,4
"1387",1,6
"1388",1,3
"1389",1,4
"1390",1,6
"1391",1,3
"1392",NA,NA
"1393",1,3
"1394",1,6
"1395",1,4
"1396",1,5
"1397",NA,NA
"1398",1,4
"1399",1,3
"1400",1,4
"1401",1,2
"1402",1,5
"1403",1,2
"1404",1,2
"1405",1,2
"1406",1,4
"1407",1,3
"1408",1,4
"1409",1,6
"1410",1,5
"1411",NA,NA
"1412",1,4
"1413",1,2
"1414",NA,NA
"1415",1,3
"1416",1,2
"1417",1,2
"1418",1,3
"1419",1,5
"1420",1,5
"1421",1,4
"1422",1,2
"1423",1,5
